Text,pred_label,prob_informative,prob_uninformative,keyword_score,matched_keywords,final_score,alert_level,alert_rank
"5,300+ new cases of the Coronavirus in the US since yesterday. Number of people released by @USER to prevent this virus from taking the lives of our brothers and sisters in jail: 53",INFORMATIVE,0.7195700432727277,0.2804299567272724,2,"{'case_growth': ['new cases', 'cases']}",6,MEDIUM,2
"#Rwanda is set to discharge 4 patients who have recovered from #COVID2019. They are scheduled to return home today Sunday, April 5. #GumaMuRugo #StayHome",UNINFORMATIVE,0.40685157284018203,0.593148427159818,0,{},0,LOW,1
Kylie Jenner gives coronavirus advice after surgeon general asks for her help (@USER / Page Six) HTTPURL HTTPURL,UNINFORMATIVE,0.20195779275558678,0.7980422072444132,0,{},0,LOW,1
Doctor Placed In Isolation After Contact With US Returnee Suspected Of Having Coronavirus Tests Negative In Ondo | Sahara Reporters A staff of the hospital confirmed to SR on Saturday that series of tests carried out on the doctor had returned...READ MORE: HTTPURL HTTPURL,INFORMATIVE,0.823294229870623,0.17670577012937702,6,"{'case_growth': ['confirmed'], 'medical_system': ['hospital'], 'testing_quarantine': ['tests', 'isolation']}",11,HIGH,3
"Spain's coronavirus deaths surpass 1,300, close to 25,000 cases: Health Ministry - Reuters HTTPURL",INFORMATIVE,0.9281305254273117,0.07186947457268837,5,"{'case_growth': ['cases'], 'death_severity': ['deaths']}",10,HIGH,3
"UPDATE: 7,102 reported #COVID19 cases today in #NYS (98% in NYC metro). When I wrote this at 9pm yesterday: 4,152 cases. +2,950 new cases vs 1k-2k predicted. Further indication that my forecast is not overstating the outlook for #NYC. @USER @USER #FlattenTheCurve",INFORMATIVE,0.7999610537527425,0.20003894624725752,2,"{'case_growth': ['new cases', 'cases']}",6,MEDIUM,2
#Italy records 793 deaths in the last 24hours taking the overall death toll to 4825 the highest in the world from the #Covid19 #COVID19italia 😢😢😢😭😭😭,INFORMATIVE,0.7150461341625642,0.28495386583743576,3,"{'death_severity': ['death', 'deaths']}",7,MEDIUM,2
""" Coronavirus in Scotland: The Brae owners 'in tears' over abusive messages after offering NHS staff free meals HTTPURL "" | @USER HTTPURL",UNINFORMATIVE,0.2543722329796114,0.7456277670203886,0,{},0,LOW,1
"There are 4 countries with at least 1,000 deaths from Coronavirus. There are 8 countries with at least 100 deaths. #COVID19 #CDC #WHO #Health #SafeHands",INFORMATIVE,0.87593651667295,0.12406348332705,3,{'death_severity': ['deaths']},8,MEDIUM,2
"Kansas is up to 57 #coronavirus cases including a second death, this one in JohnsonCounty, and two cases of out of staters who tested positive while here but are not in the state’s official count. #kakenews #ksleg #ksed #covid19 HTTPURL",INFORMATIVE,0.9767697997372733,0.02323020026272669,6,"{'case_growth': ['tested positive', 'cases'], 'death_severity': ['death'], 'testing_quarantine': ['tested']}",11,HIGH,3
"I'm highly disappointed in @USER and the @USER for not having a statement out about #covid19 or the fact that both Idris Elba and Sophie Gregoire Trudeau both tested positive after attending the #wedayUK in London with 12,000 youth.",INFORMATIVE,0.6184618294252167,0.3815381705747834,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested']}",7,MEDIUM,2
"#COVID19 updates: • Italy recorded 793 deaths and 6,557 new cases in the past 24 hours. • New York State records 10,000 cases • Colombia and Bolivia declare nationwide quarantines • UK pubs and restaurants told to close HTTPURL",INFORMATIVE,0.8869186422050567,0.11308135779494329,5,"{'case_growth': ['new cases', 'cases'], 'death_severity': ['deaths']}",10,HIGH,3
@USER COCA call: (COVID-19) Underlying Medical Conditions and People at Higher Risk for #COVID19 — Mar 24 at 2-3pm (ET) 🖥️ Webinar ID: 161 341 6798 🖥️ or visit HTTPURL HTTPURL,UNINFORMATIVE,0.21743912759808415,0.7825608724019159,0,{},0,LOW,1
"THANK GOD!!! I LOVE @USER ❤💕💋✊ Sara Bareilles Says She's ""Really Grateful"" After Revealing Her Full Recovery From Coronavirus HTTPURL",UNINFORMATIVE,0.4553228014871802,0.5446771985128198,0,{},0,LOW,1
"#Bernie says #Coronavirus shows we need #MedicareforAll, but in the UK, which has fully socialized #healthcare, people sit on waiting lists for #COVID19 tests and treatment until after they recover. We don't need that. #NeverSocialism #MAGA #Trump2020 HTTPURL",UNINFORMATIVE,0.3536536645906898,0.6463463354093102,1,{'testing_quarantine': ['tests']},1,LOW,1
"Coronavirus: After #Sens announce a second player has tested positive for COVID-19, San Jose Sharks say no players have been tested or shown symptoms HTTPURL via @USER",INFORMATIVE,0.9356633039071145,0.06433669609288545,4,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested'], 'symptoms_infection': ['symptoms']}",9,HIGH,3
Today's update on Coronavirus. We have over 700k cases worldwide with over 30k casualties. USA is leading with the highest number of cases while Italy has the highest number of deaths. HTTPURL,INFORMATIVE,0.8298979499264088,0.17010205007359122,5,"{'case_growth': ['cases'], 'death_severity': ['deaths']}",10,HIGH,3
Malaysia's total number of cases has now doubled in a week. #COVID19Malaysia #coronavirus HTTPURL,INFORMATIVE,0.9012445156452883,0.09875548435471168,2,{'case_growth': ['cases']},7,MEDIUM,2
"#CORONAVIRUS: Europeans sing health workers’ praises nightly from windows (VIDEO): FILE - In this March 14, 2020, file photo, people applaud from their houses in support of the medical staff that are working in #COVID19 outbreak in Rivas Vaciamadrid. At… HTTPURL HTTPURL",UNINFORMATIVE,0.42035985470709436,0.5796401452929056,1,{'symptoms_infection': ['outbreak']},1,LOW,1
"@USER @USER Agree. But. 2,800,000 people die each year in America. We crashed the economy when the total coronavirus total was 100.",INFORMATIVE,0.6707374308114267,0.3292625691885734,0,{},4,LOW,1
JUST IN: #Gaza confirms its first 2 cases of #Coronavirus. 2 Palestinians who had travelled from #Pakistan and entered #Gaza through #Egypt Rafah crossing had tested positive as per Health Ministry. #CoronavirusPandemic #Covid_19,INFORMATIVE,0.9640822083658871,0.03591779163411296,3,"{'case_growth': ['tested positive', 'cases'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
Coronavirus outbreak: Intel employee in Bengaluru may be discharged today. Follow LIVE updates here: HTTPURL,UNINFORMATIVE,0.4154941915495636,0.5845058084504364,1,{'symptoms_infection': ['outbreak']},1,LOW,1
"US coronavirus cases reach more than 101,000 as reported deaths hit new daily high - CNN HTTPURL via @USER",INFORMATIVE,0.9397019730104583,0.06029802698954165,5,"{'case_growth': ['cases'], 'death_severity': ['deaths']}",10,HIGH,3
Sentara now offering 4 drive-thru coronavirus testing locations in Hampton Roads (Via WAVY TV 10) HTTPURL,UNINFORMATIVE,0.29081391940909995,0.7091860805909,1,{'testing_quarantine': ['testing']},1,LOW,1
BREAKING: 1st death in Allegheny County just reported from COVID-19. The Allegheny Co Health Dept confirmed person was an adult who'd been hospitalized. A media briefing will happen this afternoon. The ACHD also said there were 31 positive cases of COVID-19 in Allegheny County,INFORMATIVE,0.9707040367895083,0.029295963210491643,5,"{'case_growth': ['confirmed', 'positive cases', 'cases'], 'death_severity': ['death']}",10,HIGH,3
".@USER #coronavirus update: There are 7,102 total positive cases in the state with 4,408 confirmed in NYC. So far, more than 32,000 people have been tested in the state. WATCH LIVE HERE: HTTPURL HTTPURL",INFORMATIVE,0.9917087706310364,0.00829122936896363,3,"{'case_growth': ['confirmed', 'positive cases', 'cases'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
CORONAVIRUS- Faith and Wisdom - Trust God (Proverbs 3:5) - Don't walk in fear (Isaiah 41:10) - Use Wisdom (Proverbs 4:7) - Dont test God (Deuteronomy 6:16) - Be the Church ( 1 Corinthians 12:12-31) (CHURCH IS A PEOPLE NOT A PLACE) - Love one another (John 13:34),INFORMATIVE,0.547007597334346,0.45299240266565394,1,{'testing_quarantine': ['test']},4,LOW,1
"Another positive #coronavirus person who had dinner with Trump last Saturday. Everyone who was there, including Trump, must be tested. Not testing endangers those around them. #TestTrump",INFORMATIVE,0.8857621454869595,0.11423785451304051,1,"{'testing_quarantine': ['tested', 'testing']}",6,MEDIUM,2
72 persons including ones who returned from religious gathering in Nizamuddin test negative for COVID-19 in Tripura HTTPURL,INFORMATIVE,0.773779472840913,0.22622052715908703,1,{'testing_quarantine': ['test']},5,MEDIUM,2
"@USER @USER Total #Covid_19 tests each day in NI from @USER press releases. 22nd March 298 21st March 370 20th March 170 19th March 164 18th March 144 17th March 167 China showed testing is critical, but this is still very poor and @USER need to address it very quickly.",UNINFORMATIVE,0.3260922465119107,0.6739077534880893,1,"{'testing_quarantine': ['tests', 'testing']}",1,LOW,1
Ruby Princess docks at Port Kembla as Illawarra coronavirus cases hit 114 - live updates HTTPURL,INFORMATIVE,0.6051437243279328,0.39485627567206716,2,{'case_growth': ['cases']},6,MEDIUM,2
"Spain, Czech Republic, Ukraine and Now Turkey Return Faulty Chinese Coronavirus Tests that Only Caught 30% of Cases! HTTPURL",UNINFORMATIVE,0.4570056921826602,0.5429943078173398,3,"{'case_growth': ['cases'], 'testing_quarantine': ['tests']}",3,LOW,1
COVID-19: Thirty-eight new confirmed coronavirus cases in SA Number of confirmed cases now at 240. Read more &gt; HTTPURL #PretoriaRekord #RekordNews HTTPURL,INFORMATIVE,0.9328779227202586,0.06712207727974136,2,"{'case_growth': ['confirmed cases', 'confirmed', 'cases']}",7,MEDIUM,2
"#coronavirus positive case found in Ramganj, #Jaipur, #Rajasthan Administration is requesting to all the people who have come in contact with infected person to come forward &amp; give their names so that they can be treated. Please RT &amp; share for awareness purpose. HTTPURL",UNINFORMATIVE,0.4162437304513783,0.5837562695486217,1,{'symptoms_infection': ['infected']},1,LOW,1
"#BREAKING: We are learning at least one employee at the COSTCO in Glen Mills, PA tested positive for #coronavirus. This is according to a letter given to employees that was sent to @USER It says this employee usually worked 4A-12:30P &amp; worked as recently as Monday. HTTPURL",INFORMATIVE,0.8833309911580444,0.11666900884195566,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
"#BREAKING Of worldwide closed cases: Recovered vs. Deaths: Mortalities reach 13,000 = 12% #coronavirus HTTPURL",INFORMATIVE,0.9694859682623721,0.030514031737627886,6,"{'case_growth': ['cases'], 'death_severity': ['deaths'], 'public_response': ['closed']}",11,HIGH,3
"So basically, BBCAN has turned into an utter trainwreck, lost 5 housemates in 3 weeks, only one properly evicted. One quit while nommed for the first eviction, two were ejected for escalating a feud between each other, and another may have left as well due to COVID fears.",INFORMATIVE,0.511638669571479,0.488361330428521,0,{},3,LOW,1
"Between 40% and 70% of adults worldwide could get the coronavirus, one Harvard expert says. That's at least 3 billion cases. HTTPURL via @USER",UNINFORMATIVE,0.382039592542856,0.617960407457144,2,{'case_growth': ['cases']},2,LOW,1
"@USER BREAKING: There are now 8,115 cases of coronavirus in NYC, per City Hall. At least 1,450 are hospitalized, including 370 in the ICU. There have been 60 deaths citywide.",INFORMATIVE,0.8729153426183336,0.1270846573816664,8,"{'case_growth': ['cases'], 'death_severity': ['deaths'], 'medical_system': ['icu']}",13,HIGH,3
"""Shoppers have built up an extra £199m stockpile of alcohol after a 22 per cent rise in sales since coronavirus hit (Kanta)"" @USER So off-licenses stay open (negatively impacts immune system) but outdoor exercise (positively impacts immune system) banned?! #exitstrategy",UNINFORMATIVE,0.172531988752177,0.827468011247823,2,{'case_growth': ['rise']},2,LOW,1
@USER This Guy called tony talking now is an insult to anyone's intelligence and his ramblings on dyer and even worse his lack of understanding of coronavirus and dismissal of its seriousness are concerning and his advice could kill people .. Disgusting,UNINFORMATIVE,0.19051595319545922,0.8094840468045408,0,{},0,LOW,1
""".... Since i tested negative for the Coronavirus, my other problem is the issue of fake news. No member of the Presidential Taskforce Committee receives any allowance, whether sitting or sleeping...."" Lai Mohammed",UNINFORMATIVE,0.40054676782890364,0.5994532321710964,1,{'testing_quarantine': ['tested']},1,LOW,1
BREAKING: Paulo Dybala and his girlfriend Oriana has been tested positive for Coronavirus. #COVIDー19 #Covid_19 #Dybala HTTPURL,INFORMATIVE,0.8957260967090298,0.10427390329097024,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
"@USER I see what's going on in Italy, this is what's going on: 50,000 cases of Coronavirus 5,000,000 cases of normal flu last year Their flu death number on yearly basis is also much higher compared to corona",INFORMATIVE,0.6839616690912808,0.31603833090871924,5,"{'case_growth': ['cases'], 'death_severity': ['death']}",9,MEDIUM,2
"9 people are in the hospital, six of those people are in the ICU. Eleven Manitobans have recovered from COVID-19",INFORMATIVE,0.7915886659734721,0.20841133402652787,3,"{'medical_system': ['hospital', 'icu']}",7,MEDIUM,2
Italy has had winters where 68000 people died from flu (twice in recent times). Please check my facts yourself. So far they have had around 5000 deaths attributed to Covid19 but as this article shows 99% actually died from other causes. HTTPURL,INFORMATIVE,0.874687476286269,0.12531252371373103,3,{'death_severity': ['deaths']},8,MEDIUM,2
"Tennessee sees large jump in coronavirus case numbers; from 228 yesterday to 371 today. Most still In Davidson County, which is the Nashville area. #COVIDー19 #Tennessee #Nashville @USER",INFORMATIVE,0.5379370239408146,0.4620629760591855,0,{},3,LOW,1
"When a country is prepared and puts #HumanityFirst, they ease minds. South #Korea’s #covid19 death rate is less than 1% because they have tested over 150k. Or maybe they have better #medical care. #USA is only testing very sick patients. #SouthKorea #pence HTTPURL",UNINFORMATIVE,0.3588688559117632,0.6411311440882368,4,"{'death_severity': ['death'], 'testing_quarantine': ['tested', 'testing']}",3,LOW,1
"South Korea reported 147 new coronavirus infections on Saturday, according to Reuters news agency quoting the Korea Centers for Disease Control and Prevention. The new cases bring the country's total to 8,799.",INFORMATIVE,0.8160064376099212,0.18399356239007877,2,"{'case_growth': ['new cases', 'cases']}",7,MEDIUM,2
"The UK’s death toll from the novel coronavirus known as Covid-19 has risen by 684 to 3,605, up 23 per cent on the previous day’s figure (via @USER HTTPURL",UNINFORMATIVE,0.46367715703709567,0.5363228429629043,3,{'death_severity': ['death']},3,LOW,1
#COVIDー19 - Ministry of health officials have confirmed the first case of corona virus in Uganda. HTTPURL,INFORMATIVE,0.9732090845397401,0.026790915460259912,2,{'case_growth': ['confirmed']},7,MEDIUM,2
yalllllllll they saying young ppl with COVID 19 will have scarred lungs after they recover wtf. YALL STAY HOME,UNINFORMATIVE,0.24604321396123474,0.7539567860387653,0,{},0,LOW,1
"@USER @USER I am a Registered Nurse at a community hospital in California and we have not had any positive cases of Covid-19. People need to practice special distancing, good hand washing, etc just like you would during any flu season.",INFORMATIVE,0.5437818664965756,0.45621813350342444,5,"{'case_growth': ['positive cases', 'cases'], 'medical_system': ['hospital']}",8,MEDIUM,2
"Weber Co. man recovers from COVID-19, shares his story: HTTPURL HTTPURL",INFORMATIVE,0.5712653886197074,0.4287346113802925,0,{},3,LOW,1
"Deadliest Day Yet: The U.S. reported 1,736 new #covid19 deaths today, surpassing the previous high of 1,344 reported on April 4th, according to John Hopkins data. Worldometers reports an even higher 1,925 new deaths so far today, which will keep counting until 9:00 p.m ET. HTTPURL",INFORMATIVE,0.7493469228929748,0.2506530771070252,3,{'death_severity': ['deaths']},7,MEDIUM,2
"Spain's death toll from the coronavirus epidemic soared to 1,002 on Friday from 767 on the previous day, the country's health emergencies chief Fernando Simon said. The number of registered cases in the country rose to 19,980 on Friday from 17,147 on Thursday, Simon said. HTTPURL",INFORMATIVE,0.7418385253504544,0.25816147464954564,5,"{'case_growth': ['cases'], 'death_severity': ['death']}",9,MEDIUM,2
#BreakingNews Seminole Hard Rock Hotel &amp; Casino Hollywood to temporarily close at 6 p.m. today. @USER #coronavirus #CoronaVirusUpdate,UNINFORMATIVE,0.2631593821174124,0.7368406178825876,0,{},0,LOW,1
my cousin in NYC was tested &amp; confirmed with a case of COVID-19 &amp; placed in quarantine the other day. she’s fine now but we had very similar symptoms for me to think what I’m suggesting isn’t the case.,INFORMATIVE,0.8881042799395201,0.11189572006047989,4,"{'case_growth': ['confirmed'], 'testing_quarantine': ['tested', 'quarantine'], 'symptoms_infection': ['symptoms']}",9,HIGH,3
"2. Any traveller, except for Ghanaian citizens, coming from or who has been to a country, that has recorded at least 200 cases of Covid-19 within the last 14 days, will not be admitted into the Ghanaian Jurisdiction. Airlines are instructed not to allow such persons to embark.",UNINFORMATIVE,0.474252650656093,0.525747349343907,2,{'case_growth': ['cases']},2,LOW,1
"Italy on Saturday reported 793 new coronavirus deaths, a one-day record that saw its toll shoot up to 4,825 — 38.3 percent of the world’s total. The number of COVID-19 infections rose by 6,557 to 53,578, another record. HTTPURL HTTPURL",INFORMATIVE,0.8749999103263302,0.1250000896736698,3,{'death_severity': ['deaths']},8,MEDIUM,2
"My country, Ghana has recorded 22 confirmed cases of this deadly CoronaVirus disease. God please save us 🙏🙏😭",INFORMATIVE,0.9289882320920212,0.07101176790797878,2,"{'case_growth': ['confirmed cases', 'confirmed', 'cases']}",7,MEDIUM,2
"Today Massachusetts announced the results of 959 new tests of suspect coronavirus patients. 85 of the tests were positive, for 413 total positive tests. At this rate the state will be able to test the entire population in just under twenty years. HTTPURL",INFORMATIVE,0.8669831582497827,0.1330168417502173,1,"{'testing_quarantine': ['test', 'tests']}",6,MEDIUM,2
"Midday in Spain and they have already surpassed yesterday's 24-hrs recording of new cases (3,300) #COVID19. Really hoping soon they will turn around. HTTPURL",INFORMATIVE,0.7017466724839292,0.29825332751607087,2,"{'case_growth': ['new cases', 'cases']}",6,MEDIUM,2
Spokane County now reporting a total of 11 confirmed cases of COVID-19. Total in Washington: 1512. @USER,INFORMATIVE,0.9765083421581299,0.023491657841870083,2,"{'case_growth': ['confirmed cases', 'confirmed', 'cases']}",7,MEDIUM,2
Coronavirus in Canada: Tracking every case of COVID-19 HTTPURL Notice the difference in these Canadian provinces - British Columbia and Ontario - provinces with the greatest # of foreign travelers - produce the most cases. Shut airports - not borders,UNINFORMATIVE,0.33634131544590185,0.6636586845540982,2,{'case_growth': ['cases']},2,LOW,1
"CNBC: Coronavirus live updates: China reports no deaths for the first time, Boris Johnson in intensive care. HTTPURL via @USER",INFORMATIVE,0.7463630825949247,0.2536369174050753,3,{'death_severity': ['deaths']},7,MEDIUM,2
"#BreakingNews ""Five #Coronavirus infected patients of #Bangladesh have returned home after recovery."" - According to the Institute of Epidemiology, Disease Control and Research #IEDCR More- HTTPURL #BangladeshFightsCorona #StayAtHome #Covid19 #CoronaVirusUpdates",INFORMATIVE,0.5104957491684472,0.48950425083155275,1,{'symptoms_infection': ['infected']},4,LOW,1
"Brother and sister die 24 hours apart from coronavirus, as death toll mounts for British Turks HTTPURL HTTPURL",INFORMATIVE,0.7311621803684647,0.26883781963153525,3,{'death_severity': ['death']},7,MEDIUM,2
"COVID-19: CII for Rs 5,000 cash transfer to 20 cr people HTTPURL",UNINFORMATIVE,0.3322510457989547,0.6677489542010453,0,{},0,LOW,1
"TNT | NEWS #NORTHEASTINDIA Coronavirus Outbreak: Exams cancelled, 50% govt officials to work from home in #Assam... DETAILS- HTTPURL",UNINFORMATIVE,0.35543071078344535,0.6445692892165547,1,{'symptoms_infection': ['outbreak']},1,LOW,1
"N.W.T. reports 1st case of COVID-19, after person travels to Alberta and B.C. HTTPURL",INFORMATIVE,0.8033918495242184,0.19660815047578162,0,{},5,MEDIUM,2
So my sister works at a Pharmacy she said yesterday they filled 28 scripts for doctors themselves of the Anti malaria drug that Trump is letting them use for the #coronavirus and 10 more today not for Patience for themselves @USER what's going on,UNINFORMATIVE,0.32389180754365154,0.6761081924563485,0,{},0,LOW,1
"""ProPublica reviewed more than 70 reports detailing deaths in ICE detention over the last decade and found staff often break strict rules for testing contagious diseases. At least 10 detainees face quarantine for potential exposure to coronavirus.""",INFORMATIVE,0.5083554063976707,0.4916445936023292,4,"{'death_severity': ['deaths'], 'testing_quarantine': ['testing', 'quarantine']}",7,MEDIUM,2
"The @USER has announced that it has discharged four coronavirus patients after they tested negative. Akin Abayomi, the Lagos state commissioner for health said out of the four patients released, there were three females and one male. HTTPURL",INFORMATIVE,0.8876968379494125,0.11230316205058753,1,{'testing_quarantine': ['tested']},6,MEDIUM,2
"There are now 53 cases of COVID-19 in Oklahoma. Oklahoma County has 20 cases, Cleveland County has 12, Tulsa County has 5 and Kay County has 3. HTTPURL",INFORMATIVE,0.9406735905101313,0.059326409489868726,2,{'case_growth': ['cases']},7,MEDIUM,2
The number of confirmed #Coronavirus cases in #Pakistan have crossed 500 Now try to imagine the total number of cases Not that people will really care but South Asia is heading towards an unprecedented health crisis this #Navratri #CoronaCrisis HTTPURL,INFORMATIVE,0.5921043363505842,0.4078956636494158,2,"{'case_growth': ['confirmed', 'cases']}",5,MEDIUM,2
#BREAKING There has been a confirmed case of COVID-19 in a Scott County resident - middle aged adult (41-60 years of age). They were seen earlier this week at a Scott County medical center - self-isolating at home.,INFORMATIVE,0.9146241547164136,0.08537584528358641,2,{'case_growth': ['confirmed']},7,MEDIUM,2
"Local residents in Truckee, &amp; Tahoe concerned about the influx of visitors attempting to escape CA #COVID19 outbreak. Doesn’t ease tensions when people walk in groups of 20 or more in our neighborhoods. As of Friday, Incline Village had 6 documented cases. HTTPURL",UNINFORMATIVE,0.3883070159198868,0.6116929840801132,3,"{'case_growth': ['cases'], 'symptoms_infection': ['outbreak']}",3,LOW,1
Nothing surprising about Britney being a source of comfort &amp; inspiration in times both bad &amp; good. This is why she has been so beloved since she was Miss American Dream at 17. Fans Claim Britney Spears 'Cured Coronavirus' In Stunning Sundress Snaps HTTPURL,UNINFORMATIVE,0.4286411969337254,0.5713588030662746,0,{},0,LOW,1
"U-S population 10 x larger than #Canada's. U-S to Canada ratio in #coronavirus deaths, 34 - 1. #Covid_19",INFORMATIVE,0.7044572656976813,0.2955427343023187,3,{'death_severity': ['deaths']},7,MEDIUM,2
"Coronavirus Deaths in the U.S. Surge Past 2,000 HTTPURL via @USER | According to Trump, shouldn't that number be down to zero new cases by now?",INFORMATIVE,0.7889111559492239,0.21108884405077608,5,"{'case_growth': ['new cases', 'cases', 'surge'], 'death_severity': ['deaths']}",9,MEDIUM,2
#cdnpoli now I know it's a #hoax 'A fundamental shift': Nearly half of reported #fake COVID-19 cases in Canada now from community spread | CBC News HTTPURL,INFORMATIVE,0.638143378924479,0.36185662107552097,3,"{'case_growth': ['cases'], 'symptoms_infection': ['spread']}",7,MEDIUM,2
"China President Xi visits Wuhan as number of new coronavirus cases tumbles ... RTRS Beijing believes its control efforts are at a turning point, as new cases tumble. HTTPURL",UNINFORMATIVE,0.4476751767357411,0.5523248232642589,2,"{'case_growth': ['new cases', 'cases']}",2,LOW,1
A second Ottawa Senators player has tested positive for COVID-19. The Senators' last game was against the Kings in Los Angeles last week.,INFORMATIVE,0.7374747929069927,0.2625252070930073,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested']}",7,MEDIUM,2
Covid19 Ghana’s death count as at 21st March 2020| 21:15GMT HTTPURL,INFORMATIVE,0.5311569161316175,0.46884308386838247,3,{'death_severity': ['death']},6,MEDIUM,2
"DEDICATION: A respiratory therapist in Brooklyn, New York, is back at work after recovering from his recent battle with the Chinese coronavirus. HTTPURL",UNINFORMATIVE,0.46953849447245033,0.5304615055275497,0,{},0,LOW,1
16 Keralites who returned from Tablighi Jamaat tested negative for COVID-19 HTTPURL #mathrubhumi,INFORMATIVE,0.9278270467998008,0.07217295320019922,1,{'testing_quarantine': ['tested']},6,MEDIUM,2
@USER @USER These people shouldn’t be cleared to LEAVE Australia without a Covid-19 blood test. If they test positive then into quarantine for 14 days in one of our delightful Immigration Detention centres especially reserved for the purpose. A detention centre in one of our major cities,UNINFORMATIVE,0.3574106690346157,0.6425893309653843,1,"{'testing_quarantine': ['test', 'quarantine']}",1,LOW,1
What did they know and when did they know it? Covid Cover-Up. Was the Covid 19 Patient who died in Hospital at Lourdes Binghamton at the facility 5 days ago when we reported this?,INFORMATIVE,0.7841801110024538,0.21581988899754628,3,{'medical_system': ['hospital']},7,MEDIUM,2
@USER is self-quarantining even though he tested negative for #COVID19 How very special that he has that privilege. #TrumpSychophant #MarkMeadowsIsATool,INFORMATIVE,0.512243964941911,0.4877560350580889,1,{'testing_quarantine': ['tested']},4,LOW,1
The total number of active novel coronavirus cases reported in India rose to 593 Thursday morning amid the nationwide lockdown for 21 days to prevent the spread of the virus. Follow the latest updates on all you need to know about COVID-19. HTTPURL,INFORMATIVE,0.5364862811373943,0.4635137188626057,4,"{'case_growth': ['cases'], 'symptoms_infection': ['spread'], 'public_response': ['lockdown']}",7,MEDIUM,2
Dad has 'lost half of himself' after wife died from coronavirus in Bali HTTPURL via @USER,INFORMATIVE,0.8821506771746015,0.11784932282539856,0,{},5,MEDIUM,2
"COVID-19: No community transmission yet in Sask., province investigating three cases with unknown origin HTTPURL #yqr #sk HTTPURL",INFORMATIVE,0.5573263694197674,0.4426736305802325,3,"{'case_growth': ['cases'], 'symptoms_infection': ['transmission']}",6,MEDIUM,2
Here number of #COVIDー19 cases in ICU vs. maximum ICU capacity for Lombardy. Add to these numbers people who need the ICU for reasons other than COVID-19,UNINFORMATIVE,0.32751719831475945,0.6724828016852405,5,"{'case_growth': ['cases'], 'medical_system': ['icu', 'capacity']}",3,LOW,1
Don the Con and his mishandling of the Covid-19 crisis created this mess! MAGA Death Cult strikes again! Protests erupt in Michigan after Gov. Whitmer expands strict social distancing rules HTTPURL via @USER,UNINFORMATIVE,0.2845758466829844,0.7154241533170156,3,{'death_severity': ['death']},3,LOW,1
India’s slowing of the internet in #Kashmir places 8 million people at risk of #COVIDー19 #QuaratineLife @USER @USER @USER @USER #KashmirLockdown #CoronavirusPandemic #KashmirCovid19 #SocialDistancing #StandwithKashmir HTTPURL,UNINFORMATIVE,0.16976635886899993,0.8302336411310001,0,{},0,LOW,1
"@USER @USER @USER He giving an excellent update on #coronavirus for NY &amp; all. NYC, Westchester , Nassau, Suffix, Albany, top 5 tested due to positives &amp; density, however, Rockland &amp; Orange tested of late. If you look at the map, location are clustered. Staying home is important to stop. HTTPURL",UNINFORMATIVE,0.24132618777601456,0.7586738122239854,1,{'testing_quarantine': ['tested']},1,LOW,1
"Absolutely agree, @USER - I attended #Coachella for an @USER investigation in 2018. NO WAY should people attend during the #coronavirus. Our health should absolutely be our first priority! HTTPURL",UNINFORMATIVE,0.25699944676600783,0.7430005532339922,0,{},0,LOW,1
A Baltimore County man who tested positive for coronavirus has died. He was in his 60’s and had an underlying medical condition. This is the state’s second death from the virus in three days. @USER,INFORMATIVE,0.9971688287861259,0.0028311712138740885,6,"{'case_growth': ['tested positive'], 'death_severity': ['death'], 'testing_quarantine': ['tested']}",11,HIGH,3
"And finally, on March 20, Lincoln reported its first confirmed case of coronavirus. Across the state, there were 38 cases: HTTPURL",INFORMATIVE,0.9793341240112277,0.020665875988772318,2,"{'case_growth': ['confirmed', 'cases']}",7,MEDIUM,2
Latest on #coronavirus 🌐🏥 • #COVID19 cases at 370k; 16k deaths • #Italy: Lowest daily % growth in 4 days • Over 100k people recovered • #NewYork becomes U.S. epicenter • Stimulus bill blocked again in Senate • #UK to enter lockdown • $BTC: +10% HTTPURL,INFORMATIVE,0.7174756334518075,0.2825243665481925,6,"{'case_growth': ['cases'], 'death_severity': ['deaths'], 'public_response': ['lockdown']}",10,MEDIUM,2
"9/11 first responder working as EMT: Coronavirus deaths are staggering, it's like 'combat triage' | Fox News HTTPURL",UNINFORMATIVE,0.42021156622571953,0.5797884337742805,3,{'death_severity': ['deaths']},3,LOW,1
"A 30-year-old man from Varanasi has been tested positive for #Coronavirus at BHU testing lab. He had arrived in Delhi from Dubai on March 17 and went to Varanasi on March 18 in train: Kaushal Raj Sharma, Varanasi District Magistrate.",INFORMATIVE,0.9169091205326309,0.08309087946736919,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested', 'testing']}",8,MEDIUM,2
It was an emotional scene at St. David's South Austin Medical Center after a patient recovered from COVID-19.​ HTTPURL,INFORMATIVE,0.7784236653203186,0.22157633467968144,0,{},4,LOW,1
